areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2022-06-30,13504,19144946,10512,18071090,2992,1073856
nation,England,E92000001,2022-06-29,20401,19131442,15989,18060578,4412,1070864
nation,England,E92000001,2022-06-28,21309,19111041,16881,18044589,4428,1066452
nation,England,E92000001,2022-06-27,21629,19089732,17051,18027708,4578,1062024
nation,England,E92000001,2022-06-26,17941,19068103,14315,18010657,3626,1057446
nation,England,E92000001,2022-06-25,14365,19050162,11750,17996342,2615,1053820
nation,England,E92000001,2022-06-24,15488,19035797,12550,17984592,2938,1051205
nation,England,E92000001,2022-06-23,16586,19020309,13390,17972042,3196,1048267
nation,England,E92000001,2022-06-22,17666,19003723,14373,17958652,3293,1045071
nation,England,E92000001,2022-06-21,17437,18986057,14111,17944279,3326,1041778
nation,England,E92000001,2022-06-20,16829,18968620,13527,17930168,3302,1038452
nation,England,E92000001,2022-06-19,14469,18951791,11807,17916641,2662,1035150
nation,England,E92000001,2022-06-18,11578,18937322,9603,17904834,1975,1032488
nation,England,E92000001,2022-06-17,11562,18925744,9555,17895231,2007,1030513
nation,England,E92000001,2022-06-16,11835,18914182,9587,17885676,2248,1028506
nation,England,E92000001,2022-06-15,12330,18902347,10053,17876089,2277,1026258
nation,England,E92000001,2022-06-14,12583,18890017,10333,17866036,2250,1023981
nation,England,E92000001,2022-06-13,12886,18877434,10410,17855703,2476,1021731
nation,England,E92000001,2022-06-12,10682,18864548,8803,17845293,1879,1019255
nation,England,E92000001,2022-06-11,8430,18853866,7011,17836490,1419,1017376
nation,England,E92000001,2022-06-10,9130,18845436,7617,17829479,1513,1015957
nation,England,E92000001,2022-06-09,9532,18836306,7848,17821862,1684,1014444
nation,England,E92000001,2022-06-08,9938,18826774,8170,17814014,1768,1012760
nation,England,E92000001,2022-06-07,9438,18816836,7771,17805844,1667,1010992
nation,England,E92000001,2022-06-06,9770,18807398,8025,17798073,1745,1009325
nation,England,E92000001,2022-06-05,8321,18797628,6910,17790048,1411,1007580
nation,England,E92000001,2022-06-04,6252,18789307,5334,17783138,918,1006169
nation,England,E92000001,2022-06-03,5557,18783055,4769,17777804,788,1005251
nation,England,E92000001,2022-06-02,5056,18777498,4309,17773035,747,1004463
nation,England,E92000001,2022-06-01,5690,18772442,4934,17768726,756,1003716
nation,England,E92000001,2022-05-31,5720,18766752,4891,17763792,829,1002960
nation,England,E92000001,2022-05-30,5911,18761032,5025,17758901,886,1002131
nation,England,E92000001,2022-05-29,4673,18755121,3979,17753876,694,1001245
nation,England,E92000001,2022-05-28,4140,18750448,3551,17749897,589,1000551
nation,England,E92000001,2022-05-27,4466,18746308,3800,17746346,666,999962
nation,England,E92000001,2022-05-26,4801,18741842,3985,17742546,816,999296
nation,England,E92000001,2022-05-25,5175,18737041,4290,17738561,885,998480
nation,England,E92000001,2022-05-24,5584,18731866,4642,17734271,942,997595
nation,England,E92000001,2022-05-23,6230,18726282,5106,17729629,1124,996653
nation,England,E92000001,2022-05-22,5141,18720052,4332,17724523,809,995529
nation,England,E92000001,2022-05-21,4226,18714911,3575,17720191,651,994720
nation,England,E92000001,2022-05-20,5024,18710685,4216,17716616,808,994069
nation,England,E92000001,2022-05-19,5762,18705661,4710,17712400,1052,993261
nation,England,E92000001,2022-05-18,6379,18699899,5308,17707690,1071,992209
