Date, Open, High, Low, Close
07/22/22, 6174.29, 6247.35, 6168.77, 6216.82
07/21/22, 6160.37, 6233.98, 6143.06, 6201.11
07/20/22, 6229.79, 6245.47, 6151.36, 6184.66
07/19/22, 6031.60, 6213.88, 6028.79, 6201.22
07/18/22, 6070.21, 6136.02, 6059.87, 6091.91
07/15/22, 5935.28, 6043.80, 5901.38, 6036.00
07/14/22, 5979.99, 5997.31, 5874.68, 5915.41
07/13/22, 6015.53, 6025.73, 5922.94, 6000.24
07/12/22, 5960.09, 6053.33, 5930.98, 6044.20
07/11/22, 5923.83, 6004.52, 5909.73, 5996.30
07/08/22, 6007.64, 6053.17, 5952.89, 6033.13
07/07/22, 5985.09, 6024.31, 5967.98, 6006.70
07/06/22, 5872.27, 5927.50, 5846.10, 5912.38
07/05/22, 5979.20, 5981.51, 5786.50, 5794.96
07/04/22, 5983.98, 6002.07, 5943.91, 5954.65
07/01/22, 5875.60, 5975.83, 5857.34, 5931.06
06/30/22, 5926.74, 5931.55, 5852.30, 5922.86
06/29/22, 6021.69, 6071.91, 5995.75, 6031.48
06/28/22, 6099.15, 6141.94, 6077.95, 6086.02
06/27/22, 6105.20, 6156.60, 6030.61, 6047.31
06/24/22, 5918.26, 6085.99, 5914.67, 6073.35
06/23/22, 5880.30, 5957.13, 5830.87, 5883.33
06/22/22, 5879.09, 5938.46, 5834.46, 5916.63
06/21/22, 5943.52, 6032.24, 5943.08, 5964.66
06/20/22, 5901.58, 5920.09, 5855.93, 5920.09
06/17/22, 5906.86, 5974.06, 5870.64, 5882.65
06/16/22, 6003.66, 6018.10, 5872.20, 5886.24
06/15/22, 6022.84, 6062.62, 5972.31, 6030.13
06/14/22, 6063.80, 6075.37, 5934.12, 5949.84
06/13/22, 6088.05, 6122.26, 6006.28, 6022.32
06/10/22, 6316.41, 6325.89, 6177.31, 6187.23
06/09/22, 6412.58, 6456.91, 6342.99, 6358.46
06/08/22, 6517.55, 6517.55, 6413.87, 6448.63
06/07/22, 6523.16, 6523.60, 6459.92, 6500.35
06/06/22, 6533.82, 6593.15, 6533.82, 6548.78
06/03/22, 6545.00, 6547.82, 6473.74, 6485.30
06/02/22, 6447.37, 6506.60, 6447.30, 6500.44
06/01/22, 6509.19, 6510.26, 6414.22, 6418.89
05/31/22, 6539.86, 6543.42, 6457.53, 6468.80
05/30/22, 6547.86, 6582.05, 6536.77, 6562.39
05/27/22, 6445.25, 6519.73, 6424.85, 6515.75
05/26/22, 6301.49, 6424.88, 6298.45, 6410.58
05/25/22, 6296.28, 6319.29, 6229.84, 6298.64
05/24/22, 6282.32, 6322.74, 6243.84, 6253.14
05/23/22, 6350.88, 6358.74, 6263.96, 6358.74
05/20/22, 6305.46, 6377.58, 6264.84, 6285.24
05/19/22, 6279.69, 6288.99, 6196.19, 6272.71
05/18/22, 6440.30, 6455.80, 6342.67, 6352.94
05/17/22, 6379.34, 6448.33, 6373.73, 6430.19
05/16/22, 6315.68, 6369.05, 6286.02, 6347.77
05/13/22, 6250.16, 6363.24, 6238.79, 6362.68
05/12/22, 6130.69, 6238.25, 6098.22, 6206.26
05/11/22, 6173.10, 6269.73, 6137.24, 6269.73
05/10/22, 6151.52, 6206.56, 6116.91, 6116.91
05/09/22, 6207.15, 6260.85, 6086.02, 6086.02
05/06/22, 6318.66, 6322.43, 6213.64, 6258.36
05/05/22, 6549.49, 6558.91, 6350.66, 6368.40
