year,rate
1989-01-01,5.7
1990-01-01,8.0
1991-01-01,7.5
1992-01-01,4.6
1993-01-01,2.6
1994-01-01,2.2
1995-01-01,2.7
1996-01-01,2.9
1997-01-01,2.2
1998-01-01,1.8
1999-01-01,1.7
2000-01-01,1.2
2001-01-01,1.6
2002-01-01,1.5
2003-01-01,1.4
2004-01-01,1.4
2005-01-01,2.1
2006-01-01,2.5
2007-01-01,2.4
2008-01-01,3.5
2009-01-01,2.0
2010-01-01,2.5
2011-01-01,3.8
2012-01-01,2.6
2013-01-01,2.3
2014-01-01,1.5
2015-01-01,0.4
2016-01-01,1.0
2017-01-01,2.6
2018-01-01,2.3
2019-01-01,1.7
2020-01-01,1.0
2021-01-01,2.5
